Facility_Name,Ownership_Type
ZONE II (POB.) BARANGAY HEALTH STATION,Government
ZONE III (POB.) A BARANGAY HEALTH STATION,Government
ZONE III (POB.) B BARANGAY HEALTH STATION,Government
ZONE III (POB.) C BARANGAY HEALTH STATION,Government
ZONE IV (POB.) BARANGAY HEALTH STATION,Government
BALASINON BARANGAY HEALTH STATION,Government
BUGUIS BARANGAY HEALTH STATION,Government
CARRE BARANGAY HEALTH STATION,Government
CLIB BARANGAY HEALTH STATION,Government
DIONES HOSPITAL,Private
DIONES HOSPITAL CLINICAL LABORATORY,Private
HARADA BUTAI BARANGAY HEALTH STATION,Government
KATIPUNAN BARANGAY HEALTH STATION,Government
KIBLAGON BARANGAY HEALTH STATION,Government
LABON BARANGAY HEALTH STATION,Government
LAPERAS BARANGAY HEALTH STATION,Government
LAPLA BARANGAY HEALTH STATION,Government
LITOS BARANGAY HEALTH STATION,Government
LUPARAN BARANGAY HEALTH STATION,Government
MAYGHAZEL PAANAKAN,Private
MCKINLEY BARANGAY HEALTH STATION,Government
MILKY'S BIRTHING HOME,Private
NEW CEBU BARANGAY HEALTH STATION,Government
OSMEÑA BARANGAY HEALTH STATION,Government
PALILI BARANGAY HEALTH STATION,Government
PARAME BARANGAY HEALTH STATION,Government
POBLACION BARANGAY HEALTH STATION,Government
ROXAS BARANGAY HEALTH STATION,Government
SOLONGVALE BARANGAY HEALTH STATION,Government
SULOP MEDICAL CLINIC,Private
SULOP MEDICAL CLINIC,Private
SULOP RURAL HEALTH UNIT,Government
TAGOLILONG BARANGAY HEALTH STATION,Government
TALA-O BARANGAY HEALTH STATION,Government
TALAS BARANGAY HEALTH STATION,Government
TANWALANG BARANGAY HEALTH STATION,Government
WATERFALL BARANGAY HEALTH STATION,Government
BALUNTAYA BARANGAY HEALTH STATION,Government
CALIAN BARANGAY HEALTH STATION,Government
DALUPAN BARANGAY HEALTH STATION,Government
DON MARCELINO RURAL HEALTH UNIT AND BASIC EMERGENCY OBSTETRIC AND NEWBORN CARE FACILITY,Government
DON MARCELINO RURAL HEALTH UNIT AND BASIC EMERGENCY OBSTETRIC AND NEWBORN CARE FACILITY,Government
KINANGA BARANGAY HEALTH STATION,Government
KIOBOG BARANGAY HEALTH STATION,Government
LANAO BARANGAY HEALTH STATION,Government
LAPUAN BARANGAY HEALTH STATION,Government
LAWA BARANGAY HEALTH STATION,Government
LINADASAN BARANGAY HEALTH STATION,Government
MABUHAY BARANGAY HEALTH STATION,Government
NORTH LAMIDAN BARANGAY HEALTH STATION,Government
NUEVA VILLA BARANGAY HEALTH STATION,Government
SOUTH LAMIDAN BARANGAY HEALTH STATION,Government
TALAGUTONG BARANGAY HEALTH STATION,Government
WEST LAMIDAN BARANGAY HEALTH STATION,Government
BALANGONAN BARANGAY HEALTH STATION,Government
BUGUIS BARANGAY HEALTH STATION,Government
BUKID BARANGAY HEALTH STATION,Government
BUTUAN BARANGAY HEALTH STATION,Government
BUTULAN BARANGAY HEALTH STATION,Government
CABURAN BIG BARANGAY HEALTH STATION,Government
CABURAN SMALL BARANGAY HEALTH STATION,Government
CAMALIAN BARANGAY HEALTH STATION,Government
CARAHAYAN BARANGAY HEALTH STATION,Government
CAYAPONGA BARANGAY HEALTH STATION,Government
CULAMAN BARANGAY HEALTH STATION,Government
JOSE ABAD SANTOS RURAL HEALTH UNIT,Government
KALBAY BARANGAY HEALTH STATION,Government
KITAYO BARANGAY HEALTH STATION,Government
MAGULIBAS BARANGAY HEALTH STATION,Government
MALALAN BARANGAY HEALTH STATION,Government
MANGILE BARANGAY HEALTH STATION,Government
MARABUTUAN BARANGAY HEALTH STATION,Government
MEYBIO BARANGAY HEALTH STATION,Government
MOLMOL BARANGAY HEALTH STATION,Government
NUING BARANGAY HEALTH STATION,Government
PATULANG BARANGAY HEALTH STATION,Government
QUIAPO BARANGAY HEALTH STATION,Government
SAN ISIDRO BARANGAY HEALTH STATION,Government
SUGAL BARANGAY HEALTH STATION,Government
TABAYON BARANGAY HEALTH STATION,Government
TANUMAN BARANGAY HEALTH STATION,Government
TOMAS LACHICA DISTRICT HOSPITAL,Government
TOMAS LACHICA DISTRICT HOSPITAL,Government
BITO BARANGAY HEALTH STATION,Government
BOLILA BARANGAY HEALTH STATION,Government
BUHANGIN BARANGAY HEALTH STATION,Government
CULAMAN BARANGAY HEALTH STATION,Government
DATU DANWATA BARANGAY HEALTH STATION,Government
DAVAO OCCIDENTAL GENERAL HOSPITAL,Government
DAVAO OCCIDENTAL GENERAL HOSPITAL (DOGH) BUCAS CENTER,Government
DAVAO OCCIDENTAL PROVINCIAL DEPARTMENT OF HEALTH OFFICE,Government
DEMOLOC BARANGAY HEALTH STATION,Government
ESTACION MEDICAL CLINIC & HOSPITAL,Private
FELIS BARANGAY HEALTH STATION,Government
FISHING VILLAGE BARANGAY HEALTH STATION,Government
KIBALATONG BARANGAY HEALTH STATION,Government
KIDALAPONG BARANGAY HEALTH STATION,Government
KILALAG BARANGAY HEALTH STATION,Government
KINANGAN BARANGAY HEALTH STATION,Government
LACARON BARANGAY HEALTH STATION,Government
LAGUMIT BARANGAY HEALTH STATION,Government
LAIS BARANGAY HEALTH STATION,Government
LITTLE BAGUIO BARANGAY HEALTH STATION,Government
MACOL BARANGAY HEALTH STATION,Government
MAG DIAGNOSTIC LABORATORY,Private
MALITA WOMEN'S AND CHILDREN'S WELLNESS CENTER,Government
MANA BARANGAY HEALTH STATION,Government
MANUEL PERALTA BARANGAY HEALTH STATION,Government
MARIA DULCE P. FANLO MEDICAL CLINIC,Private
MARIA DULCE P. FANLO MEDICAL CLINIC,Private
NEW ARGAO BARANGAY HEALTH STATION,Government
PANGALEON BARANGAY HEALTH STATION,Government
PANGIAN BARANGAY HEALTH STATION,Government
PINALPALAN BARANGAY HEALTH STATION,Government
POBLACION BARANGAY HEALTH STATION,Government
RURAL HEALTH UNIT OF MALITA,Government
SANGAY BARANGAY HEALTH STATION,Government
TALOGOY BARANGAY HEALTH STATION,Government
TICAL BARANGAY HEALTH STATION,Government
TICULON BARANGAY HEALTH STATION,Government
TINGOLO BARANGAY HEALTH STATION,Government
TOGONON PAANAKAN CENTER,Private
TUBALAN BARANGAY HEALTH STATION,Government
BASIAWAN BARANGAY HEALTH STATION,Government
BUCA BARANGAY HEALTH STATION,Government
CADAATAN BARANGAY HEALTH STATION,Government
DATU DALIGASAO BARANGAY HEALTH STATION,Government
DATU INTAN BARANGAY HEALTH STATION,Government
KIDADAN BARANGAY HEALTH STATION,Government
KINILIDAN BARANGAY HEALTH STATION,Government
KISULAD BARANGAY HEALTH STATION,Government
MAGTABOG GENERAL HOSPITAL,Private
MAGTABOG GENERAL HOSPITAL,Private
MALALAG TUBIG BARANGAY HEALTH STATION,Government
MAMACAO BARANGAY HEALTH STATION,Government
OGPAO BARANGAY HEALTH STATION,Government
POBLACION BARANGAY HEALTH STATION,Government
PONGPONG BARANGAY HEALTH STATION,Government
SAN AGUSTIN BARANGAY HEALTH STATION,Government
SAN ANTONIO BARANGAY HEALTH STATION,Government
SAN ISIDRO BARANGAY HEALTH STATION,Government
SAN JUAN BARANGAY HEALTH STATION,Government
SAN PEDRO BARANGAY HEALTH STATION,Government
SAN ROQUE BARANGAY HEALTH STATION,Government
SANTA MARIA RURAL HEALTH UNIT,Government
SANTO NIÑO BARANGAY HEALTH STATION,Government
SANTO ROSARIO BARANGAY HEALTH STATION,Government
STA. MARIA MEDICAL CLINIC & HOSPITAL,Private
STA. MARIA MEDICAL CLINIC AND HOSPITAL,Private
TANGLAD BARANGAY HEALTH STATION,Government
BATUGANDING BARANGAY HEALTH STATION,Government
CAMAHUAL BARANGAY HEALTH STATION,Government
CAMALIG BARANGAY HEALTH STATION,Government
GOMTAGO BARANGAY HEALTH STATION,Government
KONEL BARANGAY HEALTH STATION,Government
LAKER (SARANGANI SUR) BARANGAY HEALTH STATION,Government
LIPOL BARANGAY HEALTH STATION,Government
MABILA BARANGAY HEALTH STATION,Government
PATUCO (SARANGANI NORTE) BARANGAY HEALTH STATION,Government
SARANGANI ISLAND RURAL HEALTH UNIT,Government
SARANGANI MUNICIPAL HOSPITAL,Government
TAGEN BARANGAY HEALTH STATION,Government
TININA BARANGAY HEALTH STATION,Government
TUCAL BARANGAY HEALTH STATION,Government
AWUYON COMMUNITY MUNICIPAL HOSPITAL,Government
AWUYON COMMUNITY MUNICIPAL HOSPITAL,Government
BACULIN BARANGAY HEALTH STATION,Government
BAGANGA RURAL HEALTH UNIT,Government
BANAO BARANGAY HEALTH STATION,Government
BATAWAN BARANGAY HEALTH STATION,Government
BATIANO BARANGAY HEALTH STATION,Government
BINONDO BARANGAY HEALTH STATION,Government
BOBONAO BARANGAY HEALTH STATION,Government
CAMPAWAN BARANGAY HEALTH STATION,Government
CENTRAL (POB.) BARANGAY HEALTH STATION,Government
DAPNAN BARANGAY HEALTH STATION,Government
KINABLANGAN BARANGAY HEALTH STATION,Government
LAMBAJON BARANGAY HEALTH STATION,Government
LUCOD BARANGAY HEALTH STATION,Government
MAHANUB BARANGAY HEALTH STATION,Government
MATI DIAGNOSTIC AND CLINICAL LABORATORY (BAGANGA)),Private
MATI MEDICAL CLINIC AND DIAGNOSTIC CENTER,Private
MIKIT BARANGAY HEALTH STATION,Government
SALINGCOMOT BARANGAY HEALTH STATION,Government
SAN ISIDRO BARANGAY HEALTH STATION,Government
SAN VICTOR BARANGAY HEALTH STATION,Government
SAOQUEGUE BARANGAY HEALTH STATION,Government
BANAYBANAY CLINICAL LABORATORY-MUNICIPAL HEALTH OFFICE,Government
BANAYBANAY MUNICIPAL HEALTH OFFICE-PAANAKAN,Government
CABANGCALAN BARANGAY HEALTH STATION,Government
CAGANGANAN BARANGAY HEALTH STATION,Government
CALUBIHAN BARANGAY HEALTH STATION,Government
CAUSWAGAN BARANGAY HEALTH STATION,Government
MAHAYAG BARANGAY HEALTH STATION,Government
MAPUTI BARANGAY HEALTH STATION,Government
MOGBONGCOGON BARANGAY HEALTH STATION,Government
MUNICIPAL HEALTH OFFICE BANAYBANAY,Government
PANIKIAN BARANGAY HEALTH STATION,Government
PINTATAGAN BARANGAY HEALTH STATION,Government
PISO PROPER BARANGAY HEALTH STATION,Government
POBLACION I BARANGAY HEALTH STATION,Government
Poblacion II Barangay Health Station,Government
PUNTALINAO BARANGAY HEALTH STATION,Government
RANG-AY BARANGAY HEALTH STATION,Government
SAN VICENTE BARANGAY HEALTH STATION,Government
CAATIHAN BARANGAY HEALTH STATION,Government
CABASAGAN BARANGAY HEALTH STATION,Government
CARMEN BARANGAY HEALTH STATION,Government
CAWAYANAN BARANGAY HEALTH STATION,Government
POBLACION BARANGAY HEALTH STATION,Government
RHU BOSTON CLINICAL LABORATORY,Government
RURAL HEALTH UNIT OF BOSTON,Government
SAN JOSE BARANGAY HEALTH STATION,Government
SIBAJAY BARANGAY HEALTH STATION,Government
SIMULAO BARANGAY HEALTH STATION,Government
ALVAR BARANGAY HEALTH STATION,Government
CANINGAG BARANGAY HEALTH STATION,Government
DON LEON BALANTE BARANGAY HEALTH STATION,Government
LAMIAWAN BARANGAY HEALTH STATION,Government
MANORIGAO BARANGAY HEALTH STATION,Government
MERCEDES BARANGAY HEALTH STATION,Government
MUNICIPAL HEALTH OFFICE - CARAGA,Government
PALMA GIL BARANGAY HEALTH STATION,Government
PICHON (LUCATAN) BARANGAY HEALTH STATION,Government
PICHON (SANGAB) BARANGAY HEALTH STATION,Government
POBLACION BARANGAY HEALTH STATION,Government
SAN ANTONIO BARANGAY HEALTH STATION,Government
SAN JOSE BARANGAY HEALTH STATION,Government
SAN LUIS BARANGAY HEALTH STATION,Government
SAN MIGUEL BARANGAY HEALTH STATION,Government
SAN PEDRO BARANGAY HEALTH STATION,Government
SANTA FE BARANGAY HEALTH STATION,Government
SANTIAGO BARANGAY HEALTH STATION,Government
SOBRECAREY BARANGAY HEALTH STATION,Government
ABIJOD BARANGAY HEALTH STATION,Government
ALEGRIA BARANGAY HEALTH STATION,Government
ALIWAGWAG BARANGAY HEALTH STATION,Government
ARAGON BARANGAY HEALTH STATION,Government
BAYBAY BARANGAY HEALTH STATION,Government
CATEEL RURAL HEALTH UNIT,Government
DAVAO ORIENTAL PROVINCIAL HOSPITAL - CATEEL,Government
DAVAO ORIENTAL PROVINCIAL HOSPITAL-CATEEL,Government
EAST COAST MEDICAL DIAGNOSTIC CLINIC,Private
MAGLAHUS BARANGAY HEALTH STATION,Government
MAINIT BARANGAY HEALTH STATION,Government
MALIBAGO BARANGAY HEALTH STATION,Government
POBLACION I BARANGAY HEALTH STATION,Government
POBLACION II BARANGAY HEALTH STATION,Government
SAN ALFONSO BARANGAY HEALTH STATION,Government
SAN ANTONIO BARANGAY HEALTH STATION,Government
SAN MIGUEL BARANGAY HEALTH STATION,Government
SAN RAFAEL BARANGAY HEALTH STATION,Government
SAN VICENTE BARANGAY HEALTH STATION,Government
SANTA FILOMENA BARANGAY HEALTH STATION,Government
TAYTAYAN BARANGAY HEALTH STATION,Government
BADAS BARANGAY HEALTH STATION,Government
BOBON BARANGAY HEALTH STATION,Government
BUSO BARANGAY HEALTH STATION,Government
CABUAYA BARANGAY HEALTH STATION,Government
CITY HEALTH OFFICE - MATI CITY,Government
CITY HEALTH OFFICE OF MATI,Government
CITY HEALTH OFFICE OF MATI,Government
CITY OF MATI BALAY PAANAKAN - GIDA,Government
CITY OF MATI BALAY PAANAKAN - NORTH,Government
CITY OF MATI BALAY PAANAKAN-DAWAN,Government
CUBERO DRUG TEST CENTER,Private
CULIAN BARANGAY HEALTH STATION,Government
DAHICAN A BARANGAY HEALTH STATION,Government
DAHICAN B BARANGAY HEALTH STATION,Government
DAHICAN C BARANGAY HEALTH STATION,Government
DANAO BARANGAY HEALTH STATION,Government
DAVAO ORIENTAL PROVINCIAL DEPARTMENT OF HEALTH OFFICE,Government
DAVAO ORIENTAL PROVINCIAL MEDICAL CENTER,Government
DAWAN BARANGAY HEALTH STATION,Government
DON ENRIQUE LOPEZ BARANGAY HEALTH STATION,Government
DON MARTIN MARUNDAN BARANGAY HEALTH STATION,Government
"DON SALVADOR LOPEZ, SR. BARANGAY HEALTH STATION",Government
JAYLO DIAGNOSTIC LABORATORY,Private
LANGKA BARANGAY HEALTH STATION,Government
LAWIGAN BARANGAY HEALTH STATION,Government
LIBUDON BARANGAY HEALTH STATION,Government
LUBAN BARANGAY HEALTH STATION,Government
MACAMBOL BARANGAY HEALTH STATION,Government
MAMALI BARANGAY HEALTH STATION,Government
MANANSALA WELL FAMILY MIDWIFE CLINIC,Private
MATI DIAGNOSTIC AND CLINICAL LABORATORY,Private
MATI MEDICAL CLINIC AND DIAGNOSTIC CENTER,Private
MATI MEDICAL CLINIC AND DIAGNOSTIC CENTER,Private
MATIAO A BARANGAY HEALTH STATION,Government
MATIAO B BARANGAY HEALTH STATION,Government
MAYO BARANGAY HEALTH STATION,Government
ORIENTAL DOCTORS & DIAGNOSTIC CENTER CORP.,Private
PAREDES MEDICAL CLINIC & LABORATORY,Private
PHILIPPINE RED CROSS - DAVAO ORIENTAL CHAPTER,Private
POBLACION 1 BARANGAY HEALTH STATION,Government
POBLACION 2 BARANGAY HEALTH STATION,Government
POBLACION 3 BARANGAY HEALTH STATION,Government
POBLACION 4 BARANGAY HEALTH STATION,Government
POBLACION 5 BARANGAY HEALTH STATION,Government
POBLACION 6 BARANGAY HEALTH STATION,Government
SAINZ BARANGAY HEALTH STATION,Government
SANGHAY BARANGAY HEALTH STATION,Government
"ST. CAMILLUS HOSPITAL OF MATI FOUNDATION, INC.",Private
TAGABAKID BARANGAY HEALTH STATION,Government
TAGBINONGA BARANGAY HEALTH STATION,Government
TAGUIBO BARANGAY HEALTH STATION,Government
TAMISAN BARANGAY HEALTH STATION,Government
VIDA DIALYSIS CENTER PHILIPPINES,Private
ANITAP BARANGAY HEALTH STATION,Government
CRISPIN DELA CRUZ BARANGAY HEALTH STATION,Government
DAVAO ORIENTAL PROVINCIAL HOSPITAL - GOVERNOR GENEROSO,Government
DAVAO ORIENTAL PROVINCIAL HOSPITAL-GOVERNOR GENEROSO,Government
DON AURELIO CHICOTE BARANGAY HEALTH STATION,Government
GOVERNOR GENEROSO CLINICAL LABORATORY MUNICIPAL HEALTH OFFICE,Government
JACOB JOHN'S DIAGNOSTIC LABORATORY,Private
LAVIGAN BARANGAY HEALTH STATION,Government
LUZON BARANGAY HEALTH STATION,Government
MAGDUG BARANGAY HEALTH STATION,Government
MANUEL ROXAS BARANGAY HEALTH STATION,Government
MONSERRAT BARANGAY HEALTH STATION,Government
MUNICIPAL HEALTH OFFICE - GOVERNOR GENEROSO,Government
NANGAN BARANGAY HEALTH STATION,Government
OREGON BARANGAY HEALTH STATION,Government
POBLACION BARANGAY HEALTH STATION,Government
PUNDAGUITAN BARANGAY HEALTH STATION,Government
SERGIO OSMEÑA BARANGAY HEALTH STATION,Government
SUROP BARANGAY HEALTH STATION,Government
TAGABEBE BARANGAY HEALTH STATION,Government
TAMBAN BARANGAY HEALTH STATION,Government
TANDANG SORA BARANGAY HEALTH STATION,Government
TIBANBAN I BARANGAY HEALTH STATION,Government
TIBANBAN II BARANGAY HEALTH STATION,Government
TIBLAWAN BARANGAY HEALTH STATION,Government
UPPER TIBANBAN BARANGAY HEALTH STATION,Government
BAGUMBAYAN I BARANGAY HEALTH STATION,Government
BAGUMBAYAN II BARANGAY HEALTH STATION,Government
CABADIANGAN BARANGAY HEALTH STATION,Government
CALAPAGAN BARANGAY HEALTH STATION,Government
COCORNON BARANGAY HEALTH STATION,Government
CORPORACION BARANGAY HEALTH STATION,Government
DAVAO ORIENTAL PROVINCIAL HOSPITAL-LUPON,Government
DAVAO ORIENTAL PROVINCIAL HOSPITAL-LUPON,Government
DON MARIANO MARCOS BARANGAY HEALTH STATION,Government
ERNESTO D. VIOLAN BARANGAY HEALTH STATION,Government
ILANGAY I BARANGAY HEALTH STATION,Government
ILANGAY II BARANGAY HEALTH STATION,Government
LANGKA BARANGAY HEALTH STATION,Government
LANTAWAN BARANGAY HEALTH STATION,Government
LF-RAZO MEDICAL AND DIAGNOSTIC CENTER,Private
LIMBAHAN BARANGAY HEALTH STATION,Government
LUPON BALAY PAANAKAN,Government
Lupon Clinical Laboratory MHO,Government
LUPON RURAL HEALTH UNIT,Government
MACANGAO BARANGAY HEALTH STATION,Government
MAGSAYSAY BARANGAY HEALTH STATION,Government
MAHAYAHAY BARANGAY HEALTH STATION,Government
MARAGATAS BARANGAY HEALTH STATION,Government
MARAYAG I BARANGAY HEALTH STATION,Government
MARAYAG II BARANGAY HEALTH STATION,Government
MARAYAG III BARANGAY HEALTH STATION,Government
NEW VISAYAS BARANGAY HEALTH STATION,Government
POBLACION I-A BARANGAY HEALTH STATION,Government
POBLACION I-B BARANGAY HEALTH STATION,Government
POBLACION II-A BARANGAY HEALTH STATION,Government
POBLACION II-B BARANGAY HEALTH STATION,Government
SAN JOSE BARANGAY HEALTH STATION,Government
TAGBOA BARANGAY HEALTH STATION,Government
TAGUGPO BARANGAY HEALTH STATION,Government
CAPASNAN BARANGAY HEALTH STATION,Government
CAYAWAN BARANGAY HEALTH STATION,Government
CENTRAL BARANGAY HEALTH STATION,Government
CONCEPCION BARANGAY HEALTH STATION,Government
DAVAO ORIENTAL PROVINCIAL HOSPITAL - MANAY,Government
DAVAO ORIENTAL PROVINCIAL HOSPITAL-MANAY,Government
DEL PILAR BARANGAY HEALTH STATION,Government
DR. BORCELAS MEDICAL LABORATORY,Private
GUZA BARANGAY HEALTH STATION,Government
HOLY CROSS BARANGAY HEALTH STATION,Government
LAMBOG BARANGAY HEALTH STATION,Government
MABINI BARANGAY HEALTH STATION,Government
MANAY RURAL HEALTH UNIT,Government
MANREZA BARANGAY HEALTH STATION,Government
MHO-MANAY PAANAKAN,Government
NEW TAOKANGA BARANGAY HEALTH STATION,Government
OLD MACOPA BARANGAY HEALTH STATION,Government
RIZAL BARANGAY HEALTH STATION,Government
SAN FERMIN BARANGAY HEALTH STATION,Government
SAN IGNACIO BARANGAY HEALTH STATION,Government
SAN ISIDRO BARANGAY HEALTH STATION,Government
ZARAGOSA BARANGAY HEALTH STATION,Government
AERO MEDICAL AND DIAGNOSTIC CLINIC,Private
BAON BARANGAY HEALTH STATION,Government
BATOBATO (POB.) BARANGAY HEALTH STATION,Government
BITAOGAN BARANGAY HEALTH STATION,Government
CAMBALEON BARANGAY HEALTH STATION,Government
DUGMANON BARANGAY HEALTH STATION,Government
IBA BARANGAY HEALTH STATION,Government
LA UNION BARANGAY HEALTH STATION,Government
LAPU-LAPU BARANGAY HEALTH STATION,Government
MAAG BARANGAY HEALTH STATION,Government
MANIKLING BARANGAY HEALTH STATION,Government
MAPUTI BARANGAY HEALTH STATION,Government
SAN ISIDRO PAANAKAN,Government
SAN ISIDRO RURAL HEALTH UNIT,Government
SAN MIGUEL BARANGAY HEALTH STATION,Government
SAN ROQUE BARANGAY HEALTH STATION,Government
SANTO ROSARIO BARANGAY HEALTH STATION,Government
SUDLON BARANGAY HEALTH STATION,Government
TALISAY BARANGAY HEALTH STATION,Government
CABAGAYAN BARANGAY HEALTH STATION,Government
CENTRAL (POB.) BARANGAY HEALTH STATION,Government
DADONG BARANGAY HEALTH STATION,Government
JOVELLAR BARANGAY HEALTH STATION,Government
LABORATORYO NG TARRAGONA,Government
LIMOT BARANGAY HEALTH STATION,Government
LUCATAN BARANGAY HEALTH STATION,Government
MAGANDA BARANGAY HEALTH STATION,Government
OMPAO BARANGAY HEALTH STATION,Government
PAANAKAN NG TARRAGONA,Government
SAMBANGANAY BARANGAY HEALTH STATION,Government
TARRAGONA RURAL HEALTH UNIT,Government
TOMOAONG BARANGAY HEALTH STATION,Government
TRESE BARANGAY HEALTH STATION,Government
TUBAON BARANGAY HEALTH STATION,Government
"GENERAL SANTOS DOCTORS HOSPITAL, INC.",Private
"ST. ELIZABETH HOSPITAL, INC.",Private
SOCSARGEN COUNTY HOSPITAL,Private
GENSAN MEDICAL CENTER,Private
DADIANGAS MEDICAL CENTER,Private
DR. JORGE P. ROYECA CITY HOSPITAL,Government
MINDANAO MEDICAL CENTER,Private
"SARANGANI BAY SPECIALISTS MEDICAL CENTER, INC.",Private
R.O. DIAGAN COOPERATIVE HOSPITAL,Private
"LABELLA HOSPITAL, INC.",Private
DIZON JR MEDICAL CLINIC AND INFIRMARY,Private
AUGUIS CLINIC & HOSPITAL,Private
"JOSE C. CATOLICO SR. PUERICULTURE FAMILY PLANNING AND MATERNITY CENTER, INC.",Private
FATIMA RURAL HEALTH UNIT BIRTHING HOME,Government
AGAPE MATERNITY CLINIC,Private
BB-LO MATERNITY CLINIC AND FAMILY PLANNING,Private
"DONA SOLEDAD LYING-IN, INC.",Private
HABITAT BIRTHING HOME CLINIC,Private
HEAVEN'S GIFT LYING IN CLINIC,Private
ARLINE BIRTHING HOME AND FAMILY PLANNING CLINIC,Private
BALUAN RURAL HEALTH UNIT BIRTHING HOME,Government
"BCSI MATERNITY AND HEALTH CENTER, INC.",Private
BONITA LYING-IN CLINIC,Private
BULA RURAL HEALTH UNIT BIRTHING HOME,Government
DR. LIM BIRTHING HOME,Private
FN-TIBE BIRTHING HOME,Private
FPOP COMMUNITY HEALTH CARE CLINIC-GENSAN BRANCH,Private
LEAL'S BIRTHING HOME,Private
MAP LYING IN CLINIC,Private
MIRA MATERNITY CLINIC,Private
OXYMAX MATERNITY CENTER,Private
UNANG YAKAP LYING-IN CO.,Private
ALICIA B. BESANA WELL FAMILY MIDWIFE CLINIC,Private
ANGEL PAANAKAN,Private
CABUCOS BIRTHING HOME AND FAMILY PLANNING SERVICES,Private
DOLLY'S BIRTHING HOME,Private
GEORGIA MATERNITY CLINIC,Private
GOLDENSTATE MATERNITY CLINIC,Private
JOY EDEL G. ENRIQUEZ WELL-FAMILY MIDWIFE CLINIC,Private
PRECIOUS JEWELS MATERNITY AND LYING-IN CLINIC,Private
ST. DOMINIC ANGEL'S CRADLE MATERNITY CENTER,Private
TINAGACAN RURAL HEALTH UNIT BIRTHING HOME,Government
URBANO MATERNITY AND FAMILY PLANNING CLINIC,Private
CALUMPANG RHU AND BIRTHING HOME,Government
CONEL RURAL HEALTH UNIT BIRTHING HOME,Government
EDNA G. CASTRO WELL FAMILY MIDWIFE CLINIC,Private
MAIDY BIRTHING HOME,Private
MONICA J. BARELA'S WELL FAMILY MIDWIFE,Private
NALZARO LYING-IN CLINIC,Private
PRECIOUS GEMS BIRTHING HOME,Private
APOPONG RHU BIRTHING HOME,Government
DGS BIRTHING CLINIC,Private
LABANGAL RURAL HEALTH UNIT BIRTHING HOME,Government
PANIS MATERNITY CLINIC,Private
"PASASAMBAO INTEGRATED HEALTH SERVICES, INC.",Private
ACHARON BARANGAY HEALTH STATION,Government
ALPHAMEDICA DIAGNOSTIC LABORATORY,Private
APOPONG RURAL HEALTH UNIT,Government
"BALITE,PAG-ASA BARANGAY HEALTH STATION",Government
BALUAN RURAL HEALTH UNIT,Government
BATOMELONG BARANGAY HEALTH STATION,Government
BEACON EYE CENTER,Private
BUAYAN BARANGAY HEALTH STATION,Government
BULA RURAL HEALTH UNIT,Government
CALUMPANG RURAL HEALTH UNIT,Government
CITY HEIGHTS BARANGAY HEALTH STATION,Government
CONEL RURAL HEALTH UNIT,Government
DADIANGAS EAST (POB.) BARANGAY HEALTH STATION,Government
DADIANGAS MEDICAL CENTER,Private
DADIANGAS NORTH BARANGAY HEALTH STATION,Government
DADIANGAS SOUTH HEALTH CENTER,Government
"DAVAO SPECIALISTS CLINIC AND DIAGNOSTIC LABORATORY, INC.",Private
DELA CRUZ DIAGNOSTIC CENTER,Private
"DEMONTAÑO SPECIALTY AND DIAGNOSTIC CENTER, INC.",Private
DESERET AMBULATORY REFERRAL  CENTER FOUNDATION INC,Private
DONASCO DIAGNOSTIC LABORATORY,Private
DOÑA SOLEDAD HEALTH CENTER,Government
DR. JORGE P. ROYECA HOSPITAL,Government
E.R. DIAGNOSTIC CENTER,Private
E.R. DIAGNOSTIC CENTER,Private
ESTABILLO BARANGAY HEALTH STATION,Government
FATIMA RURAL HEALTH UNIT,Government
FPOP COMMUNITY HEALTH CARE CLINIC AND CLINICAL LABORATORY & DIAGNOSTIC CENTER,Private
GENERAL SANTOS CITY HEALTH OFFICE,Government
GENERAL SANTOS DOCTOR'S HOSPITAL,Private
"GENERAL SANTOS DOCTORS HOSPITAL, INC.",Private
GENSAN DIAGNOSTIC LABORATORY,Private
GSC MEDICAL SPECIALIST CENTER CORPORATION,Private
HERCEDA-LAZARA DIAGNOSTIC AND MEDICAL CLINIC,Private
HERCEDA-LAZARA DIAGNOSTIC AND MEDICAL CLINIC,Private
HICBAN BARANGAY HEALTH STATION,Government
HQ LAB NI DOK DIAGNOSTIC CORP.,Private
HQ LAB NI DOK DIAGNOSTIC CORP. - GENSAN BRANCH II,Private
HUMAN INDEX DIAGNOSTICS AND WELLNESS SOLUTIONS,Private
HUMAN INDEX DIAGNOSTICS AND WELLNESS SOLUTIONS,Private
"HYATT DIAGNOSTIC SYSTEM, INC.",Private
"HYATT DIAGNOSTIC SYSTEM, INC.",Private
"HYATT DIAGNOSTIC SYSTEM, INC.",Private
"IDABAW DIAGNOSTIC CENTER, INC.",Private
J. MONTECILLO DIAGNOSTIC CENTER,Private
JCD HI-PRECISION BIO-LAB,Private
JGR DRUG TESTING CENTER AND MEDICAL CLINIC,Private
JOSHUA MEDICAL CLINIC AND LABORATORY,Private
KATANGAWAN BARANGAY HEALTH STATION,Government
LABANGAL RURAL HEALTH UNIT,Government
LABORATORIO MEDICO DE CALIDAD,Private
LAGAO MAIN HEALTH CENTER,Government
LIGAYA BARANGAY HEALTH STATION,Government
